datetime,ip,name,ifIndex,status
2025-06-23 15:11:48,10.50.50.1,Router-AS ether9,151,1,snmp
2025-06-23 15:11:48,10.51.1.2,Router-AS L2TP-AWS,131,1,snmp
2025-06-23 15:11:48,101.255.56.242,Router-AS Bridge-Publik,171,1,snmp
2025-06-23 15:11:48,103.245.16.237,Router-AS Ether2-Quantum,92,1,snmp
2025-06-23 15:11:48,11.6.1.2,Router-AS Ether10,161,1,snmp
2025-06-23 15:11:48,131.131.7.2,Router-AS V-575-DRCB,251,1,snmp
2025-06-23 15:11:48,170.6.6.2,Router-AS VLAN13,181,1,snmp
2025-06-23 15:11:48,174.24.25.2,Router-AS VLAN544,191,1,snmp
2025-06-23 15:11:48,192.168.200.200,Router-AS Indihome,231,1,snmp
2025-06-23 15:11:48,192.168.221.253,Router-AS V-221LOKAL,241,1,snmp
2025-06-23 15:11:48,37.37.1.1,Router-AS VLAN-331,221,1,snmp
2025-06-23 15:11:48,79.2.1.2,Router-AS VLAN581,201,1,snmp
2025-06-23 15:11:48,80.5.1.1,Router-AS VLAN-801,1,1,snmp
2025-06-23 15:11:48,8.8.8.8,Google DNS (Test),1,0,ping
2025-06-23 15:11:50,10.50.50.1,Router-AS ether9,151,1,snmp
2025-06-23 15:11:50,10.51.1.2,Router-AS L2TP-AWS,131,1,snmp
2025-06-23 15:11:50,101.255.56.242,Router-AS Bridge-Publik,171,1,snmp
2025-06-23 15:11:50,103.245.16.237,Router-AS Ether2-Quantum,92,1,snmp
2025-06-23 15:11:50,11.6.1.2,Router-AS Ether10,161,1,snmp
2025-06-23 15:11:50,131.131.7.2,Router-AS V-575-DRCB,251,1,snmp
2025-06-23 15:11:50,170.6.6.2,Router-AS VLAN13,181,1,snmp
2025-06-23 15:11:50,174.24.25.2,Router-AS VLAN544,191,1,snmp
2025-06-23 15:11:50,192.168.200.200,Router-AS Indihome,231,1,snmp
2025-06-23 15:11:50,192.168.221.253,Router-AS V-221LOKAL,241,1,snmp
2025-06-23 15:11:50,37.37.1.1,Router-AS VLAN-331,221,1,snmp
2025-06-23 15:11:50,79.2.1.2,Router-AS VLAN581,201,1,snmp
2025-06-23 15:11:50,80.5.1.1,Router-AS VLAN-801,1,1,snmp
2025-06-23 15:11:50,8.8.8.8,Google DNS (Test),1,0,ping
2025-06-23 15:11:51,10.50.50.1,Router-AS ether9,151,1,snmp
2025-06-23 15:11:51,10.51.1.2,Router-AS L2TP-AWS,131,1,snmp
2025-06-23 15:11:51,101.255.56.242,Router-AS Bridge-Publik,171,1,snmp
2025-06-23 15:11:51,103.245.16.237,Router-AS Ether2-Quantum,92,1,snmp
2025-06-23 15:11:51,11.6.1.2,Router-AS Ether10,161,1,snmp
2025-06-23 15:11:51,131.131.7.2,Router-AS V-575-DRCB,251,1,snmp
2025-06-23 15:11:51,170.6.6.2,Router-AS VLAN13,181,1,snmp
2025-06-23 15:11:51,174.24.25.2,Router-AS VLAN544,191,1,snmp
2025-06-23 15:11:51,192.168.200.200,Router-AS Indihome,231,1,snmp
2025-06-23 15:11:51,192.168.221.253,Router-AS V-221LOKAL,241,1,snmp
2025-06-23 15:11:51,37.37.1.1,Router-AS VLAN-331,221,1,snmp
2025-06-23 15:11:51,79.2.1.2,Router-AS VLAN581,201,1,snmp
2025-06-23 15:11:51,80.5.1.1,Router-AS VLAN-801,1,1,snmp
2025-06-23 15:11:51,8.8.8.8,Google DNS (Test),1,0,ping
2025-06-23 15:11:52,10.50.50.1,Router-AS ether9,151,1,snmp
2025-06-23 15:11:52,10.51.1.2,Router-AS L2TP-AWS,131,1,snmp
2025-06-23 15:11:52,101.255.56.242,Router-AS Bridge-Publik,171,1,snmp
2025-06-23 15:11:52,103.245.16.237,Router-AS Ether2-Quantum,92,1,snmp
2025-06-23 15:11:52,11.6.1.2,Router-AS Ether10,161,1,snmp
2025-06-23 15:11:52,131.131.7.2,Router-AS V-575-DRCB,251,1,snmp
2025-06-23 15:11:52,170.6.6.2,Router-AS VLAN13,181,1,snmp
2025-06-23 15:11:52,174.24.25.2,Router-AS VLAN544,191,1,snmp
2025-06-23 15:11:52,192.168.200.200,Router-AS Indihome,231,1,snmp
2025-06-23 15:11:52,192.168.221.253,Router-AS V-221LOKAL,241,1,snmp
2025-06-23 15:11:52,37.37.1.1,Router-AS VLAN-331,221,1,snmp
2025-06-23 15:11:52,79.2.1.2,Router-AS VLAN581,201,1,snmp
2025-06-23 15:11:52,80.5.1.1,Router-AS VLAN-801,1,1,snmp
2025-06-23 15:11:52,8.8.8.8,Google DNS (Test),1,0,ping
2025-06-23 15:11:53,10.50.50.1,Router-AS ether9,151,1,snmp
2025-06-23 15:11:53,10.51.1.2,Router-AS L2TP-AWS,131,1,snmp
2025-06-23 15:11:53,101.255.56.242,Router-AS Bridge-Publik,171,1,snmp
2025-06-23 15:11:53,103.245.16.237,Router-AS Ether2-Quantum,92,1,snmp
2025-06-23 15:11:53,11.6.1.2,Router-AS Ether10,161,1,snmp
2025-06-23 15:11:53,131.131.7.2,Router-AS V-575-DRCB,251,1,snmp
2025-06-23 15:11:53,170.6.6.2,Router-AS VLAN13,181,1,snmp
2025-06-23 15:11:53,174.24.25.2,Router-AS VLAN544,191,1,snmp
2025-06-23 15:11:53,192.168.200.200,Router-AS Indihome,231,1,snmp
2025-06-23 15:11:53,192.168.221.253,Router-AS V-221LOKAL,241,1,snmp
2025-06-23 15:11:53,37.37.1.1,Router-AS VLAN-331,221,1,snmp
2025-06-23 15:11:53,79.2.1.2,Router-AS VLAN581,201,1,snmp
